size,price
65.0,56600.0
46.0,42000.0
60.94,36542.0
59.0,26500.0
66.82,65000.0
98.0,70000.0
48.0,34499.0
92.0,46000.0
128.0,87000.0
56.0,37500.0
45.0,36500.0
70.0,48000.0
56.0,37500.0
95.0,78000.0
100.0,150000.0
97.0,80000.0
130.0,98500.0
67.0,42000.0
95.0,50000.0
62.0,55000.0
75.0,70000.0
70.0,81999.0
59.0,22534.0
55.0,43000.0
59.0,37000.0
44.0,29500.0
30.0,38500.0
56.0,38000.0
60.0,40000.0
70.0,83000.0
64.0,34500.0
100.0,57000.0
68.0,50000.0
115.0,64000.0
60.0,34000.0
100.0,48000.0
50.0,32500.0
105.0,125000.0
70.0,87000.0
137.0,105000.0
36.0,26000.0
52.0,55000.0
47.14,28000.0
65.0,45000.0
130.0,115000.0
110.0,125000.0
61.0,53000.0
40.0,23500.0
75.0,62000.0
54.0,37500.0
64.0,54962.0
30.0,31000.0
68.0,46500.0
50.0,38000.0
44.0,60000.0
35.0,20600.0
70.0,68500.0
46.0,33000.0
71.0,40200.0
50.0,21500.0
43.0,34000.0
60.0,32000.0
60.0,31999.0
57.0,32000.0
75.0,80000.0
62.0,33000.0
43.0,34000.0
